Target,CHEESE Espsim,CHEESE Shapesim,Family,GOLD,GLIDE,SURFLEX,FLEXX
hmdh,0.8102849472146343,0.7572244550321926,Miscellaneous,0.4,0.66,0.38,0.04
hs90a,0.4865650818090693,0.4625640544167631,Miscellaneous,0.23,0.03,0.02,0.03
hxk4,0.5008503805740945,0.5085345860159255,Miscellaneous,0.3,0.34,0.04,0.08
igf1r,0.5987552780262764,0.402713071878061,Protein kinases,0.49,0.52,0.2,0.49
inha,0.4013799710089037,0.2776545345358167,Miscellaneous,0.51,0.27,0.21,0.18
ital,0.2487841695814424,0.2344013756817581,Miscellaneous,0.12,0.1,0.02,0.03
jak2,0.4061688440346217,0.429315631696782,Protein kinases,0.5,0.41,0.17,0.19
kif11,0.3820609776893464,0.4275614735516967,Miscellaneous,0.55,0.59,0.12,0.08
kit,0.0386726249756406,0.0212814791350762,Protein kinases,0.24,0.12,0.05,0.17
kith,0.8660631731338128,0.3404654491460874,Miscellaneous,0.26,0.75,0.6,0.07
kpcb,0.6356039892223322,0.421873372382848,Protein kinases,0.49,0.6,0.43,0.45
lck,0.4511024632128315,0.139071809276804,Protein kinases,0.26,0.41,0.19,0.39
lkha4,0.2033918380333718,0.3453778315545427,Miscellaneous,0.29,0.54,0.47,0.16
mapk2,0.1642148449950011,0.2213988422335306,Protein kinases,0.4,0.45,0.04,0.2
mcr,0.2482820122035658,0.2661966515389333,Nuclear receptors,0.04,0.3,0.06,0.01
met,0.3294400986704711,0.6214111613842955,Protein kinases,0.64,0.44,0.17,0.35
mk01,0.6959777616325429,0.421918854228172,Protein kinases,0.46,0.26,0.03,0.39
mk10,0.0331276753791714,0.0412024127546161,Protein kinases,0.39,0.28,0.03,0.29
mk14,0.1152692907938944,0.1238088091775141,Protein kinases,0.24,0.34,0.06,0.29
mmp13,0.6062593355521826,0.5660511810148519,Miscellaneous,0.4,0.33,0.3,0.09
mp2k1,0.3076011172457999,0.3125732435073387,Protein kinases,0.39,0.23,0.03,0.16
nos1,0.0981524888682823,0.0842217939969447,Miscellaneous,0.4,0.16,0.35,0.14
nram,0.0804287853771072,0.0592619410196107,Miscellaneous,0.34,0.69,0.42,0.28
pa2ga,0.0446468666042674,0.2141043700636773,Miscellaneous,0.32,0.58,0.09,0.3
parp1,0.4072093584176062,0.3550850021206533,Miscellaneous,0.24,0.65,0.34,0.28
pde5a,0.1800365167138962,0.2218774745676618,Miscellaneous,0.16,0.3,0.19,0.05
pgh1,0.05747195534641,0.0871045368973729,Cyclooxygenases,0.22,0.24,0.14,0.09
pgh2,0.7142398863560557,0.630022760096848,Cyclooxygenases,0.32,0.48,0.27,0.21
plk1,0.0259153599679604,0.0220302954967995,Protein kinases,0.48,0.53,0.11,0.23
pnph,0.8911748062984614,0.762831003354965,Miscellaneous,0.45,0.15,0.22,0.21
ppara,0.2036869530796204,0.3030510676318686,Nuclear receptors,0.32,0.19,0.37,0.09
ppard,0.098819137011725,0.2020582890477661,Nuclear receptors,0.23,0.11,0.16,0.04
pparg,0.4759978988956634,0.1502955636301649,Nuclear receptors,0.32,0.15,0.12,0.04
prgr,0.17074996379095,0.1488256473558498,Nuclear receptors,0.07,0.05,0.07,0.1
ptn1,0.0477726301406539,0.0653999923119632,Miscellaneous,0.78,0.32,0.36,0.32
pur2,0.9924530514169948,0.9973008596757532,Miscellaneous,0.97,1.0,0.98,0.99
pygm,0.0018511595199905,5.273328852249548e-06,Miscellaneous,0.17,0.02,0.03,0.12
pyrd,0.6094280104225723,0.6025819734548973,Miscellaneous,0.5,0.57,0.27,0.48
reni,0.0997764799163488,0.0816428949783429,Cleaving enzymes,0.44,0.53,0.46,0.18
rock1,0.1064487345018264,0.0500725149153172,Protein kinases,0.2,0.4,0.05,0.35
rxra,0.5583283642858505,0.146598892459864,Nuclear receptors,0.53,0.79,0.54,0.27
sahh,0.9999999999999984,0.9844397014271544,Miscellaneous,0.73,0.99,0.97,0.8
src,0.2246355456138779,0.1182255785513992,Protein kinases,0.24,0.24,0.12,0.3
tgfr1,0.5821437929820973,0.6348532753814975,Protein kinases,0.59,0.66,0.28,0.44
thb,0.532559409186521,0.549937295761541,Nuclear receptors,0.54,0.54,0.29,0.26
thrb,0.0193174866643833,0.0356478518734948,Proteases,0.54,0.66,0.58,0.62
try1,0.048415111162129,0.0900380035272345,Proteases,0.65,0.67,0.75,0.8
tryb1,0.1936518464469263,0.0544155072641182,Proteases,0.6,0.47,0.44,0.5
tysy,0.3560914963466271,0.4406227841985613,Miscellaneous,0.76,0.65,0.46,0.32
urok,0.1856053448847475,0.1404142078000424,Proteases,0.66,0.85,0.29,0.77
vgfr2,0.0855836651888834,0.0989207166135955,Protein kinases,0.36,0.26,0.07,0.52
wee1,0.94411552663174,0.938803422249838,Protein kinases,0.92,0.99,0.82,0.72
xiap,0.8395109034445718,0.7585390707768236,Miscellaneous,0.49,0.8,0.45,0.57
