Target,USR,VAMS,ROCS Shape,USR Color,ROCS Color,AutoDock VINA,CHEESE Espsim,CHEESE Shapesim,Family
csf1r,0.155,0.303,0.324,0.111,0.336,0.14,0.4213238333637789,0.3325869272341863,Protein kinases
cxcr4,0.029,0.168,0.457,0.099,0.49,0.04,0.319525778177423,0.4176737645639113,GPCR
def,0.114,0.24,0.393,0.351,0.557,0.25,0.5795377004685258,0.6459137186809409,Miscellaneous
dhi1,0.069,0.202,0.265,0.066,0.269,0.21,0.3518194315327843,0.3592776842968547,Miscellaneous
dpp4,0.132,0.163,0.172,0.228,0.259,0.08,0.1776459640952065,0.2698585677733123,Miscellaneous
drd3,0.025,0.042,0.038,0.01,0.035,0.18,0.1273768558631748,0.0717710810849104,GPCR
dyr,0.045,0.064,0.082,0.387,0.474,0.21,0.6235017629309568,0.298532656944617,Miscellaneous
egfr,0.056,0.138,0.184,0.083,0.391,0.14,0.67913588590506,0.6589750213177826,Protein kinases
esr1,0.092,0.259,0.353,0.333,0.544,0.4,0.5965712838049354,0.4969958390741981,Nuclear receptors
esr2,0.095,0.167,0.312,0.428,0.481,0.37,0.520976908357451,0.3385732254350435,Nuclear receptors
fa10,0.107,0.144,0.181,0.137,0.323,0.41,0.2214453595269126,0.1834795595833948,Proteases
fa7,0.112,0.047,0.108,0.458,0.232,0.49,0.2156493152275231,0.2655430439516739,Proteases
fabp4,0.367,0.209,0.467,0.0,0.432,0.42,0.4412196212233884,0.3835669643534197,Miscellaneous
fak1,0.052,0.187,0.476,0.143,0.864,0.35,0.293212988443555,0.5117422693704513,Protein kinases
fgfr1,0.036,0.057,0.035,0.009,0.061,0.36,0.3388447753292037,0.3671396922865532,Protein kinases
fkb1a,0.063,0.106,0.124,0.015,0.094,0.19,0.3888385057353541,0.1712657931538408,Miscellaneous
fnta,0.117,0.1,0.132,0.14,0.337,0.23,0.1472899314370652,0.1600478193848382,Miscellaneous
fpps,0.314,0.682,0.707,0.178,0.923,0.0,0.9865575204250184,0.9066907760356366,Miscellaneous
gcr,0.09,0.127,0.161,0.142,0.171,0.3,0.1793098312816502,0.434863544072595,Nuclear receptors
glcm,0.051,0.063,0.086,0.14,0.173,0.01,0.2483531968090752,0.0717094855883311,Miscellaneous
gria2,0.134,0.094,0.364,0.152,0.409,0.28,0.5599748623395479,0.5165731569615423,Ion channels
grik1,0.059,0.101,0.148,0.036,0.245,0.13,0.4549130853468281,0.2110920315660119,Ion channels
hdac2,0.035,0.11,0.081,0.038,0.1,0.39,0.1456207098249277,0.121819271503297,Histone deacetylases
hdac8,0.058,0.07,0.123,0.482,0.321,0.41,0.2301364214729738,0.1510669170722461,Histone deacetylases
hivint,0.028,0.05,0.107,0.0,0.072,0.12,0.1412219902478225,0.249680757288384,Miscellaneous
hivpr,0.317,0.274,0.21,0.173,0.175,0.19,0.2947658308984316,0.4600816829344745,Miscellaneous
hivrt,0.139,0.147,0.111,0.16,0.146,0.15,0.0935535743141602,0.1723327069739348,Miscellaneous
hmdh,0.255,0.38,0.56,0.271,0.73,0.24,0.761412517386486,0.7097018047106939,Miscellaneous
hs90a,0.118,0.206,0.266,0.165,0.453,0.0,0.4852035918717398,0.4797145487697302,Miscellaneous
hxk4,0.102,0.248,0.398,0.417,0.523,0.09,0.5198019293846174,0.5566644694902305,Miscellaneous
igf1r,0.042,0.04,0.135,0.141,0.196,0.35,0.6773957277813147,0.4815376787701266,Protein kinases
inha,0.026,0.116,0.253,0.155,0.34,0.26,0.3088308677909243,0.2138013773548505,Miscellaneous
ital,0.077,0.177,0.175,0.007,0.166,0.07,0.1933562065495075,0.2053916573014794,Miscellaneous
jak2,0.039,0.217,0.345,0.098,0.529,0.33,0.4976777807080336,0.4606178768532417,Protein kinases
kif11,0.107,0.172,0.363,0.245,0.461,0.55,0.4604927589924973,0.4467550415030944,Miscellaneous
kit,0.008,0.056,0.044,0.028,0.066,0.18,0.0336822649945547,0.0310059896993534,Protein kinases
kith,0.13,0.141,0.203,0.202,0.383,0.51,0.8575629262023496,0.3664935643444173,Miscellaneous
kpcb,0.201,0.132,0.41,0.237,0.686,0.42,0.6137327222438919,0.4510390526739814,Protein kinases
lck,0.013,0.032,0.115,0.008,0.094,0.23,0.5286767772313672,0.2205351190046394,Protein kinases
lkha4,0.103,0.217,0.29,0.092,0.453,0.47,0.3051316251777543,0.4926071397776093,Miscellaneous
mapk2,0.075,0.293,0.394,0.219,0.6,0.45,0.2583028025494865,0.3487002583013204,Protein kinases
mcr,0.087,0.111,0.107,0.287,0.237,0.17,0.2480007958149874,0.3112036842501338,Nuclear receptors
met,0.349,0.394,0.392,0.481,0.461,0.25,0.43345328913912,0.6091648779773914,Protein kinases
mk01,0.067,0.152,0.18,0.093,0.338,0.23,0.6476945444507032,0.4180378540654715,Protein kinases
mk10,0.031,0.078,0.092,0.057,0.128,0.22,0.0463167858763481,0.1055528952467334,Protein kinases
mk14,0.163,0.144,0.184,0.11,0.183,0.19,0.2002876014935029,0.2230387901741375,Protein kinases
mmp13,0.077,0.145,0.153,0.262,0.349,0.15,0.6640042379701261,0.624652870035136,Miscellaneous
mp2k1,0.133,0.161,0.134,0.088,0.229,0.05,0.2703759948338959,0.2698716021864591,Protein kinases
nos1,0.04,0.108,0.059,0.032,0.054,0.09,0.1816716479270674,0.0875379449043129,Miscellaneous
nram,0.303,0.305,0.321,0.028,0.362,0.02,0.2884571305184432,0.188005384109965,Miscellaneous
pa2ga,0.044,0.138,0.141,0.18,0.405,0.04,0.0676961294150762,0.2130314115266236,Miscellaneous
parp1,0.163,0.339,0.308,0.166,0.403,0.34,0.4256468231002854,0.3565684690552305,Miscellaneous
pde5a,0.04,0.099,0.181,0.112,0.233,0.26,0.2077529501335465,0.2980474304727627,Miscellaneous
pgh1,0.041,0.176,0.2,0.109,0.159,0.17,0.1069390167183168,0.123096409510167,Cyclooxygenases
pgh2,0.114,0.367,0.474,0.194,0.515,0.43,0.6284698143476121,0.6100022734470596,Cyclooxygenases
plk1,0.01,0.018,0.044,0.121,0.064,0.13,0.0518739254497882,0.0682693045834378,Protein kinases
pnph,0.133,0.188,0.561,0.273,0.729,0.34,0.9280980952878376,0.7814545477787974,Miscellaneous
ppara,0.362,0.289,0.336,0.181,0.381,0.34,0.2309019262414294,0.350490340682052,Nuclear receptors
ppard,0.102,0.174,0.129,0.023,0.301,0.15,0.1294207239337678,0.2682008969004805,Nuclear receptors
pparg,0.227,0.139,0.182,0.006,0.34,0.22,0.527080226269492,0.2128869505239537,Nuclear receptors
prgr,0.143,0.168,0.122,0.121,0.182,0.36,0.2552821091744759,0.165582225160297,Nuclear receptors
ptn1,0.029,0.055,0.053,0.012,0.054,0.46,0.1279796242761225,0.1114583382242693,Miscellaneous
pur2,0.288,0.244,0.271,0.472,0.621,0.44,0.9963106052080302,0.998778436744849,Miscellaneous
pygm,0.058,0.018,0.03,0.095,0.007,0.1,0.0457360880471572,0.0112696850019882,Miscellaneous
pyrd,0.314,0.567,0.64,0.014,0.623,0.44,0.5152355127470528,0.5441507382717351,Miscellaneous
reni,0.167,0.186,0.229,0.239,0.31,0.2,0.1738285447016658,0.1405553208635495,Cleaving enzymes
rock1,0.038,0.068,0.034,0.042,0.074,0.14,0.1509980081764104,0.080988004890986,Protein kinases
rxra,0.036,0.105,0.214,0.039,0.679,0.5,0.5986874506811392,0.2240484221352237,Nuclear receptors
sahh,0.329,0.159,0.63,0.746,0.983,0.53,0.9999999999999836,0.9903924520883212,Miscellaneous
src,0.05,0.062,0.112,0.055,0.12,0.13,0.3646764733806684,0.2229641773557138,Protein kinases
tgfr1,0.168,0.375,0.416,0.179,0.384,0.43,0.6437594404458306,0.67610779907997,Protein kinases
thb,0.139,0.359,0.558,0.092,0.697,0.5,0.5328889841855091,0.6759541078412851,Nuclear receptors
thrb,0.079,0.031,0.035,0.083,0.076,0.25,0.0680668043594477,0.0903303900618789,Proteases
try1,0.159,0.157,0.085,0.286,0.117,0.21,0.1832020177796279,0.169126663845793,Proteases
tryb1,0.03,0.061,0.026,0.058,0.135,0.2,0.3284268130190497,0.1391231392109213,Proteases
tysy,0.289,0.217,0.138,0.484,0.264,0.54,0.3742133693909331,0.522550435583432,Miscellaneous
urok,0.059,0.052,0.113,0.151,0.207,0.28,0.26826974820098,0.1922222227152812,Proteases
vgfr2,0.122,0.094,0.152,0.051,0.201,0.36,0.1056922945119286,0.1381021743636405,Protein kinases
wee1,0.068,0.376,0.64,0.325,0.959,0.8,0.930676116563448,0.9385801729204868,Protein kinases
xiap,0.113,0.065,0.183,0.602,0.709,0.22,0.8838868842250341,0.81702523110949,Miscellaneous
